"Story","Title","Result","Date","Stability","Duration (s)"
"CreatePost","As a User I can create a Text Post","SUCCESS","2023-09-27T00:15:52.4639067+07:00[Asia/Jakarta]","0.0","0.46"
"CreatePost","As a User I can Post Photos","SUCCESS","2023-09-27T00:15:52.9400788+07:00[Asia/Jakarta]","0.0","0.04"
"CreatePost","As a User I can Post Video","SUCCESS","2023-09-27T00:15:52.9925687+07:00[Asia/Jakarta]","0.0","0.04"
"CreatePost","As a User I can Create a Article Post","SUCCESS","2023-09-27T00:15:53.0393157+07:00[Asia/Jakarta]","0.0","0.04"
"CreatePost","As a User I can Create a Program Post","SUCCESS","2023-09-27T00:15:53.0881578+07:00[Asia/Jakarta]","0.0","0.05"
"ReactionPost","As a User I can like Posts","SUCCESS","2023-09-27T00:15:53.1543438+07:00[Asia/Jakarta]","0.0","0.02"
"ReactionPost","As a User I can comment Posts","SUCCESS","2023-09-27T00:15:53.1859835+07:00[Asia/Jakarta]","0.0","0.03"
"ReactionPost","As a User I can reposted the Posts with add my opinion","SUCCESS","2023-09-27T00:15:53.2216423+07:00[Asia/Jakarta]","0.0","0.03"
"ReactionPost","As a User I can reposted the Posts with instant repost","SUCCESS","2023-09-27T00:15:53.2592529+07:00[Asia/Jakarta]","0.0","0.02"
"ScrollUp","As a User I can Scroll Up to the newest Posts","SUCCESS","2023-09-27T00:15:53.2920411+07:00[Asia/Jakarta]","0.0","0.02"
"SortBy","As a User I can Sort a Posts by the newest","SUCCESS","2023-09-27T00:15:53.3230255+07:00[Asia/Jakarta]","0.0","0.02"
"SortBy","As a User I can Sort a Posts by the most popular","SUCCESS","2023-09-27T00:15:53.3485606+07:00[Asia/Jakarta]","0.0","0.02"
